rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
1545,44518357,2550,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Upper East Side,All Upper East Side,Manhattan
2472,94441623,11500,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,All Downtown,Manhattan
10234,87632265,3000,3,1,1000,4,1,106,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2919,76909719,4500,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,All Midtown,Manhattan
2790,92953520,4795,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,All Downtown,Manhattan
2869,8967298,3600,3,2,900,4,1,15,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
10524,60898078,1950,1,1,950,1,3,83,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
3946,23468975,17500,2,2,4800,3,4,136,0,0,0,1,1,1,0,1,Soho,All Downtown,Manhattan
5465,73060494,3500,1,1,996,9,7,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
10817,64726877,3800,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan
4318,57792653,3900,3,2,1000,4,9,8,0,0,0,0,1,0,0,0,Greenwood,South Brooklyn,Brooklyn
9077,87831371,1995,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
5150,28448754,2995,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,All Downtown,Manhattan
6265,20382303,2700,2,1,900,4,2,96,0,0,0,0,0,0,0,0,Gowanus,Northwest Brooklyn,Brooklyn
9507,84137202,15000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Flatiron,All Downtown,Manhattan
1437,66221183,4650,1,1,915,5,5,106,0,0,0,0,0,0
